Namespace(prompt_data_path='data/japanese_alpaca_data.json', learning_rate=0.0003, input_length=128, bpe_path='data/bpe.txt', base_gpt_path='gen/base_model', batch_size=32, device='cuda', model_output_path='gen/sft_model')
loading prompts
Initially, loaded 52002 prompts
Selected 25230 prompts.
-------- token manager validation --------
vocab size: 16387
tokens for ダイヤモンド: [15268]
tokens for 北海道: [9957]
tokens for 一石二鳥: [8572, 431, 2850, 382]
[begin]こんにちは[unk]こんばんは。[sep]
-------- end --------

step    0 (   1 sec): loss=4.268263, gen=[begin]タイムタイムに必要なグレードを支払う必要は無い。[begin]現役を引退すると思われました。[begin]この派生基準は、43年間を与えてきます。[begin]1996年に海抜では3回成長した一年半の寿命を占有策して、
step   10 (   5 sec): loss=3.469781, gen=[begin]当初はアリストテレスの理論によれば、1ページのソートを2つ選んで作成してください。[sep]1.個映り[unk]の作品"[unk][unk][unk][unk][unk]です。[begin]発言実行において、努力を置くためのリーダーの政策を選択
step   20 (   9 sec): loss=3.243774, gen=[begin]その司会者であるファーストプロセッサ的なスキャンテート的な英語辞典は、ユーザービジョンの単語を表現しています。生物は予定を特定してください。さらに、煩わしさを引き起こすために時間を制限するために使用された
step   30 (  14 sec): loss=3.133132, gen=[begin]1週間の試算を目安にしてください。[sep]2013年[unk]6の判定勝ちを収め、圧勝しましょう！[unk][unk][unk]1回、捕手17・3.4盗塁の成績で合格した。4.50得点13-6弦源泉素
step   40 (  18 sec): loss=3.059636, gen=[begin]地下道を歩いているときから、ある特定の場所への世界一の最高の空中距離を説明してください。[sep]奥地までの長い距離を見ます。それはウェーバーが、魅力的な面を継ぎました。れば、なのここで
step   50 (  22 sec): loss=2.976228, gen=[begin]ゴーシェックアップ事件はエバング料理に最も焦点を当て、悪い解決策の一つである、十分なノートを購入することで、商品や健康サービスを使用して、将来の経済再生可能エネルギー源を提供することを目的とする企業です。改善する
step   60 (  26 sec): loss=2.840616, gen=[begin]コンピュータ化された科学物体の仮定を書いてください。[sep]コンピュータ化された人間は、相互に接続された一連の情報を経て電気通信で伝達されます。人間は格下にかつ、相互に接続された物質は、最小の
